"","x"
"1",0.044
"2",0.027
"3",0.024
"4",0.032
"5",0.025
"6",0.021
"7",0.029
"8",0.027
"9",0.045
"10",0.03
"11",0.032
"12",0.031
"13",0.031
"14",0.033
"15",0.034
"16",0.033
"17",0.044
"18",0.027
"19",0.027
"20",0.027
"21",0.022
"22",0.032
"23",0.028
"24",0.034
"25",0.033
"26",0.032
"27",0.033
"28",0.031
"29",0.033
"30",0.03
"31",0.04
"32",0.026
"33",0.032
"34",0.036
"35",0.035
"36",0.033
"37",0.044
"38",0.036
"39",0.03
"40",0.031
"41",0.031
"42",0.041
"43",0.034
"44",0.024
"45",0.036
"46",0.021
"47",0.025
"48",0.021
"49",0.04
"50",0.038
"51",0.023
"52",0.04
"53",0.009
"54",0.02
"55",0.013
"56",0.039
"57",0.039
"58",0.025
"59",0.037
"60",0.013
"61",0.02
"62",0.017
"63",0.03
"64",0.037
"65",0.03
"66",0.032
"67",0.034
"68",0.026
"69",0.03
"70",0.027
"71",0.032
"72",0.042
"73",0.034
"74",0.031
"75",0.028
"76",0.034
"77",0.032
"78",0.032
"79",0.044
"80",0.039
"81",0.04
"82",0.035
"83",0.037
"84",0.036
"85",0.035
"86",0.048
"87",0.04
"88",0.044
"89",0.034
"90",0.039
"91",0.036
"92",0.037
"93",0.049
"94",0.044
"95",0.039
"96",0.037
"97",0.041
"98",0.039
"99",0.034
"100",0.044
"101",0.04
"102",0.031
"103",0.026
"104",0.024
"105",0.032
"106",0.026
"107",0.031
"108",0.034
"109",0.034
"110",0.034
"111",0.035
"112",0.031
"113",0.032
"114",0.031
"115",0.031
"116",0.035
"117",0.023
"118",0.035
"119",0.029
"120",0.025
"121",0.028
"122",0.019
"123",0.038
"124",0.035
"125",0.039
"126",0.035
"127",0.037
"128",0.035
"129",0.034
"130",0.042
"131",0.034
"132",0.037
"133",0.031
"134",0.034
"135",0.032
"136",0.033
"137",0.04
"138",0.032
"139",0.032
"140",0.026
"141",0.032
"142",0.024
"143",0.026
"144",0.045
"145",0.037
"146",0.033
"147",0.03
"148",0.039
"149",0.035
"150",0.034
"151",0.039
"152",0.029
"153",0.036
"154",0.027
"155",0.028
"156",0.025
"157",0.031
"158",0.043
"159",0.037
"160",0.039
"161",0.036
"162",0.037
"163",0.037
"164",0.038
"165",0.048
"166",0.043
"167",0.032
"168",0.038
"169",0.043
"170",0.043
"171",0.038
"172",0.051
"173",0.04
"174",0.034
"175",0.037
"176",0.04
"177",0.037
"178",0.027
"179",0.046
"180",0.043
"181",0.043
"182",0.032
"183",0.034
"184",0.037
"185",0.035
"186",0.033
"187",0.04
"188",0.029
"189",0.027
"190",0.029
"191",0.026
"192",0.029
"193",0.026
"194",0.027
"195",0.044
"196",0.028
"197",0.022
"198",0.024
"199",0.016
"200",0.021
"201",0.018
"202",0.023
"203",0.044
"204",0.04
"205",0.043
"206",0.037
"207",0.04
"208",0.036
"209",0.037
"210",0.05
"211",0.04
"212",0.04
"213",0.042
"214",0.038
"215",0.04
"216",0.038
"217",0.037
"218",0.05
"219",0.05
"220",0.05
"221",0.045
"222",0.046
"223",0.049
"224",0.043
"225",0.047
"226",0.043
"227",0.049
"228",0.043
"229",0.038
"230",0.04
"231",0.042
"232",0.036
"233",0.04
"234",0.039
"235",0.036
"236",0.038
"237",0.033
"238",0.036
"239",0.029
"240",0.036
"241",0.043
"242",0.033
"243",0.036
"244",0.027
"245",0.032
"246",0.024
"247",0.033
"248",0.035
"249",0.033
"250",0.025
"251",0.037
"252",0.03
"253",0.029
"254",0.03
"255",0.026
"256",0.04
"257",0.031
"258",0.037
"259",0.043
"260",0.038
"261",0.037
"262",0.038
"263",0.035
"264",0.044
"265",0.037
"266",0.037
"267",0.04
"268",0.038
"269",0.039
"270",0.037
"271",0.037
"272",0.049
"273",0.039
"274",0.038
"275",0.043
"276",0.039
"277",0.039
"278",0.037
"279",0.038
"280",0.047
"281",0.044
"282",0.044
"283",0.043
"284",0.034
"285",0.04
"286",0.035
"287",0.041
"288",0.03
"289",0.033
"290",0.028
"291",0.03
"292",0.025
"293",0.027
"294",0.026
"295",0.026
"296",0.041
"297",0.032
"298",0.037
"299",0.04
"300",0.032
"301",0.035
"302",0.033
"303",0.034
"304",0.042
"305",0.042
"306",0.042
"307",0.04
"308",0.036
"309",0.037
"310",0.038
"311",0.04
"312",0.042
"313",0.037
"314",0.032
"315",0.04
"316",0.031
"317",0.033
"318",0.032
"319",0.031
"320",0.043
"321",0.043
"322",0.042
"323",0.044
"324",0.04
"325",0.042
"326",0.04
"327",0.042
"328",0.038
"329",0.04
"330",0.039
"331",0.039
"332",0.037
"333",0.038
"334",0.037
"335",0.04
"336",0.043
"337",0.045
"338",0.03
"339",0.038
"340",0.032
"341",0.028
"342",0.031
"343",0.041
"344",0.043
"345",0.04
"346",0.039
"347",0.035
"348",0.038
"349",0.033
"350",0.037
"351",0.04
"352",0.038
"353",0.04
"354",0.039
"355",0.037
"356",0.04
"357",0.037
"358",0.039
"359",0.041
"360",0.038
"361",0.036
"362",0.035
"363",0.034
"364",0.038
"365",0.033
"366",0.038
"367",0.051
"368",0.042
"369",0.045
"370",0.048
"371",0.043
"372",0.043
"373",0.04
"374",0.04
"375",0.048
"376",0.045
"377",0.042
"378",0.036
"379",0.035
"380",0.039
"381",0.032
"382",0.042
"383",0.043
"384",0.047
"385",0.037
"386",0.039
"387",0.036
"388",0.034
"389",0.031
"390",0.033
"391",0.038
"392",0.037
"393",0.034
"394",0.033
"395",0.03
"396",0.032
"397",0.027
"398",0.032
"399",0.035
"400",0.03
"401",0.024
"402",0.032
"403",0.024
"404",0.025
"405",0.023
"406",0.022
"407",0.044
"408",0.037
"409",0.037
"410",0.041
"411",0.038
"412",0.037
"413",0.034
"414",0.036
"415",0.036
"416",0.041
"417",0.041
"418",0.036
"419",0.04
"420",0.04
"421",0.037
"422",0.04
"423",0.037
"424",0.039
"425",0.039
"426",0.04
"427",0.038
"428",0.039
"429",0.036
"430",0.038
"431",0.042
"432",0.043
"433",0.041
"434",0.04
"435",0.042
"436",0.038
"437",0.04
"438",0.053
"439",0.058
"440",0.051
"441",0.049
"442",0.048
"443",0.049
"444",0.046
"445",0.048
"446",0.05
"447",0.055
"448",0.059
"449",0.049
"450",0.052
"451",0.055
"452",0.047
"453",0.053
"454",0.051
"455",0.057
"456",0.053
"457",0.046
"458",0.051
"459",0.053
"460",0.045
"461",0.053
"462",0.037
"463",0.041
"464",0.037
"465",0.037
"466",0.036
"467",0.038
"468",0.033
"469",0.039
"470",0.036
"471",0.044
"472",0.038
"473",0.035
"474",0.035
"475",0.038
"476",0.034
"477",0.038
"478",0.039
"479",0.037
"480",0.038
"481",0.041
"482",0.037
"483",0.038
"484",0.033
"485",0.034
"486",0.043
"487",0.039
"488",0.04
"489",0.042
"490",0.041
"491",0.04
"492",0.038
"493",0.038
"494",0.043
"495",0.04
"496",0.037
"497",0.043
"498",0.04
"499",0.038
"500",0.035
"501",0.037
"502",0.048
"503",0.042
"504",0.045
"505",0.048
"506",0.046
"507",0.045
"508",0.042
"509",0.042
"510",0.055
"511",0.051
"512",0.052
"513",0.052
"514",0.052
"515",0.049
"516",0.047
"517",0.052
"518",0.05
"519",0.042
"520",0.044
"521",0.049
"522",0.043
"523",0.039
"524",0.043
"525",0.049
"526",0.041
"527",0.046
"528",0.049
"529",0.044
"530",0.044
"531",0.045
"532",0.04
"533",0.043
"534",0.037
"535",0.035
"536",0.043
"537",0.038
"538",0.044
"539",0.047
"540",0.043
"541",0.042
"542",0.045
"543",0.046
"544",0.041
"545",0.046
"546",0.04
"547",0.037
"548",0.038
"549",0.037
"550",0.035
"551",0.038
"552",0.037
"553",0.053
"554",0.037
"555",0.045
"556",0.045
"557",0.044
"558",0.04
"559",0.035
"560",0.055
"561",0.048
"562",0.052
"563",0.052
"564",0.054
"565",0.047
"566",0.045
"567",0.057
"568",0.052
"569",0.059
"570",0.053
"571",0.051
"572",0.058
"573",0.048
"574",0.055
"575",0.05
"576",0.057
"577",0.054
"578",0.055
"579",0.056
"580",0.054
"581",0.053
"582",0.056
"583",0.051
"584",0.055
"585",0.057
"586",0.055
"587",0.056
"588",0.053
"589",0.055
"590",0.048
"591",0.05
"592",0.036
"593",0.048
"594",0.041
"595",0.04
"596",0.03
"597",0.035
"598",0.044
"599",0.038
"600",0.026
"601",0.041
"602",0.029
"603",0.024
"604",0.03
"605",0.026
"606",0.045
"607",0.049
"608",0.046
"609",0.046
"610",0.048
"611",0.046
"612",0.048
"613",0.054
"614",0.054
"615",0.054
"616",0.051
"617",0.048
"618",0.05
"619",0.047
"620",0.049
"621",0.059
"622",0.059
"623",0.055
"624",0.053
"625",0.049
"626",0.054
"627",0.047
"628",0.053
"629",0.06
"630",0.045
"631",0.054
"632",0.053
"633",0.054
"634",0.053
"635",0.048
"636",0.053
"637",0.045
"638",0.049
"639",0.044
"640",0.056
"641",0.043
"642",0.043
"643",0.038
"644",0.043
"645",0.048
"646",0.042
"647",0.034
"648",0.045
"649",0.034
"650",0.032
"651",0.031
"652",0.036
"653",0.041
"654",0.035
"655",0.024
"656",0.032
"657",0.016
"658",0.019
"659",0.016
"660",0.021
"661",0.048
"662",0.045
"663",0.049
"664",0.05
"665",0.046
"666",0.05
"667",0.047
"668",0.049
"669",0.05
"670",0.047
"671",0.047
"672",0.048
"673",0.048
"674",0.05
"675",0.045
"676",0.047
"677",0.06
"678",0.053
"679",0.053
"680",0.06
"681",0.052
"682",0.052
"683",0.048
"684",0.053
"685",0.045
"686",0.047
"687",0.046
"688",0.042
"689",0.043
"690",0.035
"691",0.047
"692",0.038
"693",0.036
"694",0.046
"695",0.041
"696",0.036
"697",0.035
"698",0.035
"699",0.038
"700",0.037
"701",0.039
"702",0.035
"703",0.039
"704",0.04
"705",0.041
"706",0.041
"707",0.039
"708",0.043
"709",0.044
"710",0.042
"711",0.037
"712",0.04
"713",0.04
"714",0.04
"715",0.042
"716",0.039
"717",0.033
"718",0.037
"719",0.037
"720",0.042
"721",0.038
"722",0.04
"723",0.031
"724",0.044
"725",0.044
"726",0.037
"727",0.038
"728",0.045
"729",0.047
"730",0.047
"731",0.047
"732",0.048
"733",0.043
"734",0.048
"735",0.044
"736",0.046
"737",0.045
"738",0.042
"739",0.046
"740",0.048
"741",0.048
"742",0.046
"743",0.048
"744",0.046
"745",0.047
"746",0.047
"747",0.045
"748",0.049
"749",0.047
"750",0.048
"751",0.043
"752",0.047
"753",0.048
"754",0.043
"755",0.045
"756",0.047
"757",0.046
"758",0.047
"759",0.042
"760",0.048
"761",0.046
"762",0.048
"763",0.048
"764",0.048
"765",0.047
"766",0.048
"767",0.048
"768",0.046
"769",0.048
"770",0.049
"771",0.049
"772",0.048
"773",0.048
"774",0.045
"775",0.048
"776",0.047
"777",0.048
"778",0.047
"779",0.046
"780",0.048
"781",0.05
"782",0.047
"783",0.052
"784",0.05
"785",0.048
"786",0.049
"787",0.049
"788",0.049
"789",0.048
"790",0.049
"791",0.05
"792",0.051
"793",0.048
"794",0.048
"795",0.048
"796",0.046
"797",0.049
"798",0.049
"799",0.051
"800",0.05
"801",0.049
"802",0.053
"803",0.055
"804",0.058
"805",0.053
"806",0.055
"807",0.053
"808",0.056
"809",0.05
"810",0.05
"811",0.047
"812",0.051
"813",0.051
"814",0.054
"815",0.05
"816",0.052
"817",0.053
"818",0.053
"819",0.053
"820",0.057
"821",0.052
"822",0.05
"823",0.05
"824",0.051
"825",0.051
"826",0.049
"827",0.048
"828",0.049
"829",0.053
"830",0.053
"831",0.05
"832",0.054
"833",0.047
"834",0.057
"835",0.055
"836",0.05
"837",0.051
"838",0.055
"839",0.05
"840",0.048
"841",0.051
"842",0.046
"843",0.049
"844",0.047
"845",0.049
"846",0.044
"847",0.044
"848",0.045
"849",0.051
"850",0.054
"851",0.05
"852",0.049
"853",0.048
"854",0.048
"855",0.047
"856",0.048
"857",0.051
"858",0.052
"859",0.047
"860",0.045
"861",0.045
"862",0.05
"863",0.046
"864",0.047
"865",0.046
"866",0.043
"867",0.048
"868",0.047
"869",0.051
"870",0.047
"871",0.05
"872",0.05
"873",0.046
"874",0.048
"875",0.05
"876",0.052
"877",0.053
"878",0.054
"879",0.05
"880",0.05
"881",0.048
"882",0.049
"883",0.046
"884",0.048
"885",0.046
"886",0.049
"887",0.052
"888",0.051
"889",0.05
"890",0.049
"891",0.048
"892",0.05
"893",0.049
"894",0.05
"895",0.054
"896",0.048
"897",0.049
"898",0.046
"899",0.052
"900",0.05
"901",0.046
"902",0.048
"903",0.047
"904",0.047
"905",0.049
"906",0.046
"907",0.049
"908",0.046
"909",0.052
"910",0.052
"911",0.048
"912",0.046
"913",0.051
"914",0.046
"915",0.045
"916",0.047
"917",0.044
"918",0.046
"919",0.053
"920",0.046
"921",0.046
"922",0.046
"923",0.042
"924",0.043
"925",0.047
"926",0.047
"927",0.044
"928",0.045
"929",0.044
"930",0.044
"931",0.044
"932",0.042
"933",0.047
"934",0.046
"935",0.046
"936",0.051
"937",0.044
"938",0.042
"939",0.05
"940",0.041
"941",0.043
"942",0.044
"943",0.049
"944",0.044
"945",0.05
"946",0.045
"947",0.041
"948",0.046
"949",0.044
"950",0.043
"951",0.044
"952",0.043
"953",0.043
"954",0.044
"955",0.041
"956",0.043
"957",0.043
"958",0.045
"959",0.045
"960",0.044
"961",0.043
"962",0.043
"963",0.046
"964",0.046
"965",0.039
"966",0.046
"967",0.043
"968",0.041
"969",0.041
"970",0.043
"971",0.047
"972",0.044
"973",0.045
"974",0.04
"975",0.04
"976",0.045
"977",0.039
"978",0.041
"979",0.043
"980",0.046
"981",0.044
"982",0.046
"983",0.044
"984",0.04
"985",0.04
"986",0.041
"987",0.042
"988",0.046
"989",0.04
"990",0.044
"991",0.044
"992",0.045
"993",0.045
"994",0.048
"995",0.046
"996",0.047
"997",0.047
"998",0.044
"999",0.044
"1000",0.043
"1001",0.046
"1002",0.045
"1003",0.049
"1004",0.046
"1005",0.043
"1006",0.045
"1007",0.055
"1008",0.051
"1009",0.049
"1010",0.047
"1011",0.047
"1012",0.047
"1013",0.049
"1014",0.045
"1015",0.046
"1016",0.048
"1017",0.047
"1018",0.049
"1019",0.044
"1020",0.046
"1021",0.045
"1022",0.044
"1023",0.048
"1024",0.047
"1025",0.048
"1026",0.046
"1027",0.061
"1028",0.048
"1029",0.048
"1030",0.05
"1031",0.045
"1032",0.047
"1033",0.045
"1034",0.048
"1035",0.047
"1036",0.049
"1037",0.047
"1038",0.048
"1039",0.052
"1040",0.05
"1041",0.05
"1042",0.048
"1043",0.047
"1044",0.048
"1045",0.051
"1046",0.049
"1047",0.052
"1048",0.049
"1049",0.049
"1050",0.048
"1051",0.047
"1052",0.044
"1053",0.045
"1054",0.047
"1055",0.047
"1056",0.045
"1057",0.047
"1058",0.046
"1059",0.048
"1060",0.05
"1061",0.044
"1062",0.045
"1063",0.047
"1064",0.046
"1065",0.049
"1066",0.056
"1067",0.05
"1068",0.051
"1069",0.052
"1070",0.05
"1071",0.052
"1072",0.053
"1073",0.049
"1074",0.049
"1075",0.047
"1076",0.047
"1077",0.05
"1078",0.048
"1079",0.053
"1080",0.052
"1081",0.052
"1082",0.051
"1083",0.05
"1084",0.052
"1085",0.05
"1086",0.051
"1087",0.056
"1088",0.049
"1089",0.051
"1090",0.05
"1091",0.048
"1092",0.055
"1093",0.05
"1094",0.048
"1095",0.048
"1096",0.049
"1097",0.053
"1098",0.049
"1099",0.051
"1100",0.053
"1101",0.04
"1102",0.055
"1103",0.055
"1104",0.05
"1105",0.049
"1106",0.05
"1107",0.047
"1108",0.045
"1109",0.047
"1110",0.042
"1111",0.048
"1112",0.043
"1113",0.035
"1114",0.033
"1115",0.036
"1116",0.03
"1117",0.036
"1118",0.049
"1119",0.045
"1120",0.045
"1121",0.05
"1122",0.032
"1123",0.035
"1124",0.04
"1125",0.049
"1126",0.045
"1127",0.051
"1128",0.034
"1129",0.034
"1130",0.04
"1131",0.043
"1132",0.038
"1133",0.037
"1134",0.037
"1135",0.031
"1136",0.036
"1137",0.032
"1138",0.036
"1139",0.047
"1140",0.033
"1141",0.043
"1142",0.047
"1143",0.033
"1144",0.034
"1145",0.05
"1146",0.053
"1147",0.053
"1148",0.054
"1149",0.052
"1150",0.054
"1151",0.045
"1152",0.049
"1153",0.047
"1154",0.047
"1155",0.045
"1156",0.045
"1157",0.052
"1158",0.055
"1159",0.052
"1160",0.05
"1161",0.047
"1162",0.047
"1163",0.046
"1164",0.052
"1165",0.05
"1166",0.053
"1167",0.046
"1168",0.049
"1169",0.053
"1170",0.043
"1171",0.05
"1172",0.05
"1173",0.049
"1174",0.047
"1175",0.047
"1176",0.045
"1177",0.05
"1178",0.046
"1179",0.049
"1180",0.051
"1181",0.049
"1182",0.045
"1183",0.052
"1184",0.055
"1185",0.054
"1186",0.057
"1187",0.056
"1188",0.055
"1189",0.045
"1190",0.054
"1191",0.05
"1192",0.05
"1193",0.05
"1194",0.05
"1195",0.057
"1196",0.058
"1197",0.056
"1198",0.06
"1199",0.051
"1200",0.053
"1201",0.053
"1202",0.057
"1203",0.055
"1204",0.059
"1205",0.051
"1206",0.053
"1207",0.047
"1208",0.056
"1209",0.056
"1210",0.047
"1211",0.054
"1212",0.052
"1213",0.054
"1214",0.048
"1215",0.051
"1216",0.046
"1217",0.054
"1218",0.049
"1219",0.054
"1220",0.055
"1221",0.053
"1222",0.052
"1223",0.055
"1224",0.055
"1225",0.059
"1226",0.06
"1227",0.057
"1228",0.057
"1229",0.045
"1230",0.052
"1231",0.044
"1232",0.044
"1233",0.047
"1234",0.045
"1235",0.055
"1236",0.054
"1237",0.053
"1238",0.057
"1239",0.049
"1240",0.049
"1241",0.057
"1242",0.057
"1243",0.057
"1244",0.061
"1245",0.047
"1246",0.049
"1247",0.045
"1248",0.051
"1249",0.059
"1250",0.044
"1251",0.051
"1252",0.049
"1253",0.05
"1254",0.044
"1255",0.049
"1256",0.045
"1257",0.053
"1258",0.046
"1259",0.06
"1260",0.06
"1261",0.052
"1262",0.05
"1263",0.057
"1264",0.051
"1265",0.054
"1266",0.056
"1267",0.055
"1268",0.05
"1269",0.057
"1270",0.053
"1271",0.054
"1272",0.053
"1273",0.052
"1274",0.055
"1275",0.054
"1276",0.055
"1277",0.054
"1278",0.055
"1279",0.054
"1280",0.051
"1281",0.054
"1282",0.055
"1283",0.055
"1284",0.061
"1285",0.056
"1286",0.056
"1287",0.057
"1288",0.051
"1289",0.054
"1290",0.055
"1291",0.05
"1292",0.049
"1293",0.054
"1294",0.054
"1295",0.053
"1296",0.056
"1297",0.052
"1298",0.048
"1299",0.059
"1300",0.058
"1301",0.05
"1302",0.056
"1303",0.055
"1304",0.059
"1305",0.059
"1306",0.059
"1307",0.06
"1308",0.06
"1309",0.049
"1310",0.059
"1311",0.054
"1312",0.055
"1313",0.058
"1314",0.05
"1315",0.063
"1316",0.063
"1317",0.061
"1318",0.063
"1319",0.06
"1320",0.057
"1321",0.057
"1322",0.061
"1323",0.058
"1324",0.064
"1325",0.055
"1326",0.061
"1327",0.052
"1328",0.062
"1329",0.059
"1330",0.048
"1331",0.061
"1332",0.06
"1333",0.059
"1334",0.052
"1335",0.061
"1336",0.051
"1337",0.059
"1338",0.057
"1339",0.06
"1340",0.058
"1341",0.058
"1342",0.058
"1343",0.058
"1344",0.064
"1345",0.067
"1346",0.062
"1347",0.063
"1348",0.061
"1349",0.063
"1350",0.06
"1351",0.064
"1352",0.06
"1353",0.062
"1354",0.066
"1355",0.064
"1356",0.069
"1357",0.066
"1358",0.064
"1359",0.064
"1360",0.063
"1361",0.065
"1362",0.061
"1363",0.065
"1364",0.068
"1365",0.061
"1366",0.067
"1367",0.065
"1368",0.061
"1369",0.061
"1370",0.068
"1371",0.064
"1372",0.063
"1373",0.06
"1374",0.062
"1375",0.064
"1376",0.063
"1377",0.059
"1378",0.063
"1379",0.07
"1380",0.067
"1381",0.065
"1382",0.064
"1383",0.065
